name	effect	tree	level
Ability Focus	Choose one ability for which you have proficiency on saves. Gain 1 reroll for any save rolls or ability checks*short rest	Ability (Choosen)	1
Greater Ability Focus	Choose a ability for which you have Ability Focus. You gain +1 on that abilities score. You can't increase an ability score above 20 using this perk.	Ability (Choosen)	2	Ability Focus
Professional	Choose an ability with 17+ ability score and for which you don't have proficient ability save . Gain proficiency in it. 	Ability (Choosen)	4	Greater Ability Focus
Nimble Moves	Once per move you can treat 10ft of difficult terrain as if it was normal terrain.	Acrobatics	2	Skill Focus (Acrobatics)
Tree Leaper	When you are in a tree, you count as having a running start when you jump.	Acrobatics	2	Skill Focus (Acrobatics)
Acrobatic Moves	Once per move you can treat 20ft of difficult terrain as if it was normal terrain. Stacks with Nimble moves.	Acrobatics	3	Nimble Moves
Agile Maneuvers	Double your dex bonus for using acrobatics against graple attempts or when trying to escape graple.	Acrobatics	3	Greater Skill Focus (Acrobatics)
City Sprinter	You do not treat crowds as difficult terrain. Also, you don't treat tiled rooftops, slipper streets or sewers as difficult terrain.	Acrobatics	3	Nimble Moves
Tumble	You can use your acrobatics skill bonus instead of dexterity modifier bonus to AC against attacks of opportunity for a single 5ft movement during your move action.	Acrobatics	3	Greater Skill Focus (Acrobatics)
Confounding Tumble	If you use tumble against creatures attack of opportunity, and that creature misses, your first attack against that creature has advantage this turn.	Acrobatics	4	Tumble
Light Step	Ignore difficult terrain in natural environments. Treat it as normal terrain.	Acrobatics	4	Acrobatic Moves
Lunging Spell Touch	You can increase the reach of your spells touch range by 5ft by taking –2 penalty to your AC until your next turn. 	Acrobatics	4	Acrobatic Moves
Mystic Stride	You can use Nimble moves and acrobatic moves even through thorns, briars, and overgrown areas that are enchanted or magically manipulated to impede motion, even if those areas confer any conditions condition. 	Acrobatics - Arcana	4	Greater Skill Focus (Arcana)	Acrobatic Moves
Corsair	Gain advantage on acrobatic checks on ships and gain profficiency bonus on initiative rolls while on ships.	Acrobatics - Dexterity	3	Skill Focus (Acrobatics)	Ability Focus (Dexterity)
Acrobats Agility	When you are prone, standing up uses only 5ft of your movement. 	Acrobatics - Dexterity	4	Greater Skill Focus (Acrobatics)	Fast Crawl
Animal Trainer	You have advantage on Wisdom (Animal Handling) checks made to train and command animals	Animal Handling	2	Skill Focus (Animal Handling)
Command Animal	Use animal handling to make simple commands even if not trained. DC 12+wisdom mod of animal to stun it during combat as action. *short rest	Animal Handling	3	Animal Trainer
Pet	You form a powerful and magical bond with your pet, a small and weak, yet loyal animal that aids you along your adventures. When you gain this perk, you gain a pet. You normally select your pet from among the following animals: a bat, a cat, a crab, a frog (toad), a hawk, a lizard, an octopus, a poisonous snake, a fish (quipper), a rat, a raven, a sea horse, a spider, or a weasel. However, your DM might pick one of these animals for you, based on your background and past experiences. Your pet obeys your commands as best it can. It rolls for initiative like any other creature, but you determine its actions, decisions, attitudes, and so on. If you are incapaciated or absent, your pet acts on its own. Your pet shares your alignment and your ideal. Your pet's bond is always, "My owner is a beloved companion that I am more than willing to follow and serve." If your pet is ever slain, the magical bond you share allows you to return it to life. With 8 hours of work and the expenditure of 25 gp worth of rare herbs and fine food, you call forth your pet's spirit and perform a ritual to create a new body for it.	Animal Handling	4	Command Animal
Esoteric Trickster	Gain one use of spells mage hand and prestidigitation. *short rest	Arcana	2	Skill Focus (Arcana)
